URL,Title,Address
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architectural-designer/6976291274.html,Architectural Designer,SoHo
https://newyork.craigslist.org/que/egr/d/woodside-earn-up-to-18-hr-deliver-with/6975862859.html,Earn up to $18/hr! Deliver with Grubhub - Apply now!,Astoria-Long Island City
https://newyork.craigslist.org/brx/egr/d/bronx-construction-mechanical-inspector/6975632362.html,Construction Mechanical Inspector,All 5 boroughs of NYC
https://newyork.craigslist.org/mnh/egr/d/revit-bim-operator/6975536506.html,REVIT / BIM Operator,New York
https://newyork.craigslist.org/mnh/egr/d/architect-intermediate/6975531688.html,"Architect, Intermediate",
https://newyork.craigslist.org/mnh/egr/d/new-york-structural-engineers-needed/6975508123.html,Structural Engineers Needed!,Chelsea
https://newyork.craigslist.org/que/egr/d/civil-engineer-student-wanted-entry/6975097406.html,Civil Engineer/Student Wanted - Entry Level Position,Astoria
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-interior/6974920380.html,Architect/ Interior Designer,Chelsea
https://newyork.craigslist.org/brk/egr/d/design-fabrication-shop-looking-for-cad/6974861440.html,Design/Fabrication Shop looking for CAD/CAM Specialist,Williamsburg
https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-senior-interior/6974740601.html,Intermediate/Senior Interior Designer,Financial District
https://newyork.craigslist.org/mnh/egr/d/new-york-city-asst-project-designer/6974543245.html,Asst Project Designer / Office Manager,Upper East Side
https://newyork.craigslist.org/fct/egr/d/dover-afb-3-junior-engineers/6974526705.html,3 Junior Engineers,"Air Force Base in Dover, Delaware"
https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-cm-estimator-admin/6974234174.html,Assistant CM/ Estimator/ Admin for Developer/ CM,Upper East Side
https://newyork.craigslist.org/wch/egr/d/harrison-junior-and-intern-architect/6974014420.html,Junior and Intern Architect,Harrison
https://newyork.craigslist.org/que/egr/d/long-island-city-construction-estimator/6973417789.html,Construction Estimator,New York City
https://newyork.craigslist.org/brk/egr/d/steel-detailer/6973397500.html,Steel Detailer,Queens
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect/6973067281.html,Facade / Building Envelope Architect,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6973066671.html,Facade / Building Envelope Structural Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-job-captain/6972897008.html,Architectural Job Captain,Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-draft-person/6972885474.html,Junior Architect/Draft person,Midtown New York
https://newyork.craigslist.org/jsy/egr/d/iselin-mechanical-engineer/6972845171.html,Mechanical Engineer,"Iselin, NJ"
https://newyork.craigslist.org/mnh/egr/d/new-york-handyman-needed-the-jewish/6972798058.html,HANDYMAN NEEDED @ The Jewish Board,
https://newyork.craigslist.org/mnh/egr/d/new-york-career-opportunity-in/6972782596.html,Career Opportunity in Engineering for Immigrant Professionals,East Village
https://newyork.craigslist.org/mnh/egr/d/new-york-part-time-architectural-civil/6972749104.html,Part time Architectural / Civil Engineering intern (NYC),Manhattan/ Brooklyn
https://newyork.craigslist.org/mnh/egr/d/senior-intermediate-architect/6972682127.html,Senior/intermediate Architect,Flatiron
https://newyork.craigslist.org/que/egr/d/ozone-park-structural-steel-estimator/6972573548.html,Structural Steel Estimator,Ozone Park
https://newyork.craigslist.org/lgi/egr/d/melville-bookkeeper/6972537186.html,BOOKKEEPER,MELVILLE
https://newyork.craigslist.org/mnh/egr/d/new-york-young-firm-is-seeking-jr/6972402118.html,Young Firm is seeking Jr. Architect – Upper East Side,Upper East Side
https://newyork.craigslist.org/mnh/egr/d/new-york-furniture-fixtures-equipment/6972128493.html,"Furniture, Fixtures & Equipment Designer","New York, NY"
https://newyork.craigslist.org/lgi/egr/d/landscape-designer-draftsperson/6971955171.html,Landscape Designer / Draftsperson,miller place
https://newyork.craigslist.org/mnh/egr/d/new-york-architect-project-management/6971941892.html,Architect / Project Management,Union Square
https://newyork.craigslist.org/wch/egr/d/junior-intermediate-architect/6971864524.html,Junior-Intermediate Architect,Dobbs Ferry
https://newyork.craigslist.org/mnh/egr/d/architectural-studio-assistant-entry/6971847783.html,Architectural Studio Assistant - entry level,Chelsea
https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/6971682911.html,Structural Engineer,"Queens, NY"
https://newyork.craigslist.org/brk/egr/d/brooklyn-intermediate-architect/6971488218.html,Intermediate Architect,"Brooklyn, NY"
https://newyork.craigslist.org/que/egr/d/brooklyn-drafter/6971413917.html,Drafter,Ridgewood
https://newyork.craigslist.org/mnh/egr/d/new-york-city-sales-design-coordinator/6971069363.html,Sales & Design Coordinator,Chelsea
https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/6970738763.html,Project Manager,Manhattan
https://newyork.craigslist.org/wch/egr/d/white-plains-plumbing-fire-protection/6970392823.html,Plumbing/Fire Protection Engineer,White Plains
https://newyork.craigslist.org/mnh/egr/d/draftsperson-detailer/6970384489.html,Draftsperson Detailer,Long Island City
https://newyork.craigslist.org/brk/egr/d/brooklyn-cad-drawing-design-sales/6970382326.html,CAD DRAWING /DESIGN /SALES,BROOKLYN
https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-metal-drafter/6970329938.html,Architectural Metal Drafter,Brooklyn
https://newyork.craigslist.org/brk/egr/d/brooklyn-construction-project-manager/6969878694.html,Construction Project Manager,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/6969829364.html,Architect/Designer,New York
https://newyork.craigslist.org/mnh/egr/d/new-york-jr-architect-draftsman/6969750147.html,Jr Architect / Draftsman,
https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/6969375572.html,EXPERIENCED ARCHITECT/ DRAFTER,QUEENS
https://newyork.craigslist.org/brk/egr/d/brooklyn-intern-mechanical-engineer/6969330022.html,Intern Mechanical Engineer,"Brooklyn, NY"
